id;nome_condominio;regras_mudanca;diretorio
1;Reserva Sul ;" 24.1). As mudanças, bem como cargas, descargas e entregas de mercadorias, móveis e similares. Somente poderão ser realizadas, entre o período das 8:00h as 17:00h, de segunda a sexta-feira, e, aos sábados, das 8:00h as 15:00h, exceto feriados, após autorização por escrito da Administradora que presta serviços ao condominio, entregue ao zelador ou, na sua ausência ao Sindico, com antecedência mínima de 24 horas. As mudanças devem obrigatoriamente se encerrar nos horários designados.

 24.2). Não serão permitidas mudanças simultâneas, ou seja, no máximo uma por período por Bloco 23. Desta forma evita-se grandes transtornos aos demais moradores, há mais agilidade na mesma e é possível responsabilizar o condômino por danos causados por sua equipe de mudança, assim como viabilizar a cobrança do reparo.

 24.3). As mudanças devem ser feitas com caminhões estacionados do lado de fora do condominio. Somente caminhões pequenos (tipo três quartos) ou menores podem entrar no estacionamento por um período máximo de 2h. para carga ou descarga desta forma preserva-se o asfalto da área interna do condominio.";X:\Condomínios\CONDOMINIOS ATIVOS\Reserva Sul\Autorizações Geradas\Aut. Mudança
2;Jardim Paulista;Favor entrar em contato com o zelador para verificação de data e horário. (o regulamento estipula mudanças entre segundas-feiras à sextas-feiras das 8h às 17h e aos sábados das 8h às 15h).;X:\Condomínios\CONDOMINIOS ATIVOS\Jardim Paulista\Autorizações Geradas\Aut. Mudança
3;Edificio Damasco;Favor entrar em contato com o zelador para verificação de data e horário. (o regulamento estipula mudanças entre segundas-feiras a sextas-feiras das 8h às 17h).;X:\Condomínios\CONDOMINIOS ATIVOS\Damasco\Autorizações Geradas\Aut. Mudança
4;Edificio Ecoville;Favor entrar em contato com o zelador para verificação de data e horário. (o regulamento estipula mudanças entre segundas-feiras a sextas-feiras das 8h às 17h aos sábados das 8:30h às 11h).;X:\Condomínios\CONDOMINIOS ATIVOS\Ecoville Edifício\Autorizações Geradas\Aut. Mudança
5;Edificio Alleanza;Favor entrar em contato com o zelador para verificação de data e horário. (o regulamento estipula mudanças de segunda-feira à sexta-feira das 8:00h às 17:00h e aos Sábados das 8:00h às 12:00h).;X:\Condomínios\CONDOMINIOS ATIVOS\Alleanza D Oro\Autorizações Geradas\Aut. Mudança
6;Edificio Figueira;Favor entrar em contato com o zelador para verificação de data e horário. (o regulamento estipula mudanças entre segundas-feiras a sextas-feiras das 8h às 17h).;X:\Condomínios\CONDOMINIOS ATIVOS\Figueira Edifício\Autorizações Geradas\Aut. Mudança
7;Edificio Itaporai;Favor entrar em contato com o zelador para verificação de data e horário. (o regulamento estipula mudanças entre segundas-feiras a sextas-feiras das 8h às 17h).;X:\Condomínios\CONDOMINIOS ATIVOS\Itaporaí Edifício\Autorizações Geradas\Aut. Mudança
8;Edificio Marcela e Monica;Favor entrar em contato com o zelador para verificação de data e horário. (o regulamento estipula mudanças entre segundas-feiras a sextas-feiras das 8h às 17h).;X:\Condomínios\CONDOMINIOS ATIVOS\Marcela e Monica\Autorizações Geradas\Aut. Mudança
9;Edificio Oliveira;Favor entrar em contato com o zelador para verificação de data e horário. (o regulamento estipula mudanças entre segundas-feiras a sextas-feiras das 8h às 17h).;X:\Condomínios\CONDOMINIOS ATIVOS\Oliveira Edifício\Autorizações Geradas\Aut. Mudança
10;Haras Country Village;Favor entrar em contato com o zelador para verificação de data e horário. (o regulamento estipula mudanças entre segundas-feiras à sextas-feiras das 8h às 17h e aos sábados das 8h às 15h).;X:\Condomínios\CONDOMINIOS ATIVOS\Haras Country Village\Autorizações Geradas\Aut. Mudança
11;Edificio Prime Office;Favor entrar em contato com o zelador para verificação de data e horário. (os horários para mudanças são de segundas – feiras as sextas - feiras das 09h00 às 11h30 ou das 14h00 às 17h30).;X:\Condomínios\CONDOMINIOS ATIVOS\Prime Office\Autorizações Geradas\Aut. Mudança
12;Portal dos Pinheiros;Favor entrar em contato com o zelador para verificação de data e horário. (o regulamento estipula mudanças entre segundas-feiras a sextas-feiras das 8h às 18h e aos sábados das 8h às 17h).;X:\Condomínios\CONDOMINIOS ATIVOS\Portal dos Pinheiros\Autorizações Geradas\Aut. Mudança
13;Recreio Humaita;Favor entrar em contato com o zelador para verificação de data e horário. (o regulamento estipula mudanças entre segundas-feiras a sextas-feiras das 8h às 17h).;X:\Condomínios\CONDOMINIOS ATIVOS\Humaita\Autorizações Geradas\Aut. Mudança
